meas_ts_local_tz,meas_lat_deg_dec,meas_lon_deg_dec,meas_val
2017-12-22 07:59:00+00:00,37.80677377,-122.2752603,0.28978633
2017-12-22 07:59:00+00:00,37.37720436,-121.9960476,0.455322951
2017-12-22 07:59:00+00:00,37.38621851,-121.9079349,0.748302059
2017-12-22 07:59:00+00:00,37.68392125,-121.7799021,0.35341345
2017-12-22 07:59:00+00:00,37.8174196,-122.2696336,1.673181057
2017-12-22 07:59:00+00:00,37.44022081,-122.1557072,-0.416235238
2017-12-22 07:59:00+00:00,37.4328841,-122.1379816,0.128151042
2017-12-22 07:59:00+00:00,37.34500949,-121.8719653,0.292215011
2017-12-22 07:59:00+00:00,37.39465727,-122.0234657,0.696076128
2017-12-22 07:59:00+00:00,37.38067948,-121.9991276,0.449844986
2017-12-22 07:59:00+00:00,37.34379145,-121.8968456,0.198817309
2017-12-22 07:59:00+00:00,37.78433333,-122.4750536,0.27883446
2017-12-22 07:59:00+00:00,37.72939544,-122.1901502,0.267628089
2017-12-22 07:59:00+00:00,37.77332661,-122.467207,0.348717976
2017-12-22 07:59:00+00:00,37.77619509,-122.1659119,0.076745777
2017-12-22 07:59:00+00:00,37.80345987,-122.2848876,0.282306482
2017-12-22 07:59:00+00:00,37.44478437,-122.1536258,0.160271471
2017-12-22 07:59:00+00:00,37.77833138,-122.5050305,-0.427336447
2017-12-22 07:59:00+00:00,37.80130809,-122.3121734,0.616901929
2017-12-22 07:59:00+00:00,37.36190527,-121.897613,0.437464812
2017-12-22 07:59:00+00:00,37.74974971,-122.1959746,0.618525317
2017-12-22 07:59:00+00:00,37.86617921,-122.2924393,0.327648841
2017-12-22 07:59:00+00:00,37.81785306,-122.2923517,0.321822843
2017-12-22 07:59:00+00:00,37.39186563,-121.8942433,1.420543242
2017-12-22 07:59:00+00:00,37.76331495,-122.177511,0.172825318
2017-12-22 07:59:00+00:00,37.76899207,-122.1629875,0.237457693
2017-12-22 07:59:00+00:00,37.77385894,-122.1702819,0.15008383
2017-12-22 07:59:00+00:00,37.46745249,-122.2416297,0.367086417
2017-12-22 07:59:00+00:00,37.77553015,-122.4908518,0.448224307
2017-12-22 07:59:00+00:00,37.77155762,-122.2153212,0.248600886
2017-12-22 07:59:00+00:00,37.69979318,-121.797719,0.373755321
2017-12-22 07:59:00+00:00,37.74312247,-122.1538967,0.187702444
2017-12-22 07:59:00+00:00,37.77442889,-122.17659,0.543007488
2017-12-22 07:59:00+00:00,37.79275695,-122.2666081,0.432662411
2017-12-22 07:59:00+00:00,37.39952337,-122.0299948,1.291820612
2017-12-22 07:59:00+00:00,37.38094625,-122.009653,0.729418137
2017-12-22 07:59:00+00:00,37.82701073,-122.2851691,1.003095686
2017-12-22 07:59:00+00:00,37.34939522,-121.8812439,0.1572085
2017-12-22 07:59:00+00:00,38.40528188,-122.8352309,0.699813604
2017-12-22 07:59:00+00:00,37.38714541,-121.9009257,0.428995619
2017-12-22 07:59:00+00:00,37.7470991,-122.1687124,0.229444328
2017-12-22 07:59:00+00:00,37.78965154,-122.2459872,0.409467619
2017-12-22 07:59:00+00:00,37.79111587,-122.2529353,0.072529698
2017-12-22 07:59:00+00:00,37.38893128,-122.0286177,0.525892614
2017-12-22 07:59:00+00:00,37.74396321,-122.180349,0.312695254
2017-12-22 07:59:00+00:00,37.77609858,-122.4855239,0.112396766
